timestamp,temperature,humidity
20240808120434,22.0,50.0
20240808120504,22.02,50.05
20240808120534,22.03,50.1
20240808120604,22.05,50.15
20240808120634,22.07,50.19
20240808120704,22.08,50.24
20240808120734,22.1,50.28
20240808120804,22.12,50.32
20240808120834,22.13,50.36
20240808120904,22.15,50.39
20240808120934,22.17,50.42
20240808121004,22.18,50.45
20240808121034,22.2,50.47
20240808121104,22.22,50.48
20240808121134,22.23,50.49
20240808121204,22.25,50.5
20240808121234,22.27,50.5
20240808121304,22.28,50.5
20240808121334,22.3,50.49
20240808121404,22.32,50.47
20240808121434,22.33,50.45
20240808121504,22.35,50.43
20240808121534,22.37,50.4
20240808121604,22.38,50.37
20240808121634,22.4,50.34
20240808121704,22.42,50.3
20240808121734,22.43,50.26
20240808121804,22.45,50.21
20240808121834,22.47,50.17
20240808121904,22.48,50.12
20240808121934,22.5,50.07
20240808122004,22.52,50.02
20240808122034,22.53,49.97
20240808122104,22.55,49.92
20240808122134,22.57,49.87
20240808122204,22.58,49.82
20240808122234,22.6,49.78
20240808122304,22.62,49.74
20240808122334,22.63,49.69
20240808122404,22.65,49.66
20240808122434,22.67,49.62
20240808122504,22.68,49.59
20240808122534,22.7,49.56
20240808122604,22.72,49.54
20240808122634,22.73,49.52
20240808122704,22.75,49.51
20240808122734,22.77,49.5
20240808122804,22.78,49.5
20240808122834,22.8,49.5
20240808122904,22.82,49.51
20240808122934,22.83,49.52
20240808123004,22.85,49.54
20240808123034,22.87,49.56
20240808123104,22.88,49.58
20240808123134,22.9,49.61
20240808123204,22.92,49.65
20240808123234,22.93,49.68
20240808123304,22.95,49.72
20240808123334,22.97,49.77
20240808123404,22.98,49.81
